"species","habitat","hour","day","month","timestamp","season","count"
"Deer","Forest","08","11","06",2023-06-11 08:00:00,"Summer",5
"Deer","Forest","15","12","06",2023-06-12 15:00:00,"Summer",4
"Deer","Forest","10","07","04",2023-04-07 10:00:00,"Spring",5
"Deer","Forest","12","16","10",2023-10-16 12:00:00,"Fall",4
"Deer","Forest","15","11","10",2023-10-11 15:00:00,"Fall",6
"Deer","Forest","12","11","08",2023-08-11 12:00:00,"Summer",5
"Deer","Forest","05","25","05",2023-05-25 05:00:00,"Spring",1
"Deer","Forest","15","18","10",2023-10-18 15:00:00,"Fall",4
"Deer","Forest","07","03","09",2023-09-03 07:00:00,"Fall",2
"Deer","Forest","11","28","06",2023-06-28 11:00:00,"Summer",4
"Deer","Forest","19","21","06",2023-06-21 19:00:00,"Summer",4
"Deer","Forest","09","12","11",2023-11-12 09:00:00,"Fall",4
"Deer","Forest","09","17","11",2023-11-17 09:00:00,"Fall",3
"Deer","Forest","14","03","10",2023-10-03 14:00:00,"Fall",2
"Deer","Forest","22","21","06",2023-06-21 22:00:00,"Summer",2
"Deer","Forest","16","02","07",2023-07-02 16:00:00,"Summer",6
"Deer","Forest","13","02","10",2023-10-02 13:00:00,"Fall",7
"Deer","Forest","08","04","10",2023-10-04 08:00:00,"Fall",2
"Deer","Forest","13","09","07",2023-07-09 13:00:00,"Summer",2
"Deer","Forest","09","28","06",2023-06-28 09:00:00,"Summer",5
"Deer","Forest","14","13","06",2023-06-13 14:00:00,"Summer",3
"Deer","Forest","11","30","03",2023-03-30 11:00:00,"Spring",5
"Deer","Forest","13","23","06",2023-06-23 13:00:00,"Summer",3
"Deer","Forest","04","06","10",2023-10-06 04:00:00,"Fall",1
"Deer","Forest","09","04","09",2023-09-04 09:00:00,"Fall",5
"Deer","Forest","04","16","09",2023-09-16 04:00:00,"Fall",4
"Deer","Forest","13","22","09",2023-09-22 13:00:00,"Fall",3
"Deer","Forest","17","25","06",2023-06-25 17:00:00,"Summer",4
"Deer","Forest","10","14","06",2023-06-14 10:00:00,"Summer",3
"Deer","Forest","09","10","07",2023-07-10 09:00:00,"Summer",5
"Deer","Forest","13","02","07",2023-07-02 13:00:00,"Summer",3
"Deer","Forest","13","30","07",2023-07-30 13:00:00,"Summer",5
"Deer","Forest","15","21","07",2023-07-21 15:00:00,"Summer",4
"Deer","Forest","09","19","03",2023-03-19 09:00:00,"Spring",5
"Deer","Mountain","17","26","10",2023-10-26 17:00:00,"Fall",2
"Deer","Mountain","14","03","03",2023-03-03 14:00:00,"Spring",5
"Deer","Mountain","11","31","08",2023-08-31 11:00:00,"Summer",4
"Deer","Mountain","13","30","08",2023-08-30 13:00:00,"Summer",2
"Deer","Mountain","15","25","11",2023-11-25 15:00:00,"Fall",5
"Deer","Mountain","23","25","06",2023-06-25 23:00:00,"Summer",3
"Deer","Mountain","13","06","11",2023-11-06 13:00:00,"Fall",2
"Deer","Mountain","15","18","06",2023-06-18 15:00:00,"Summer",4
"Deer","Mountain","18","29","10",2023-10-29 18:00:00,"Fall",3
"Deer","Mountain","16","30","09",2023-09-30 16:00:00,"Fall",2
"Deer","Mountain","14","02","07",2023-07-02 14:00:00,"Summer",8
"Deer","Mountain","14","15","10",2023-10-15 14:00:00,"Fall",4
"Deer","Mountain","19","09","06",2023-06-09 19:00:00,"Summer",7
"Deer","Grassland","13","01","01",2023-01-01 13:00:00,"Winter",4
"Deer","Grassland","09","12","08",2023-08-12 09:00:00,"Summer",2
"Deer","Grassland","11","26","10",2023-10-26 11:00:00,"Fall",2
"Deer","Grassland","17","02","02",2023-02-02 17:00:00,"Winter",2
"Deer","Grassland","16","06","07",2023-07-06 16:00:00,"Summer",1
"Deer","Grassland","12","15","05",2023-05-15 12:00:00,"Spring",5
"Deer","Grassland","14","16","06",2023-06-16 14:00:00,"Summer",3
"Deer","Grassland","10","14","08",2023-08-14 10:00:00,"Summer",3
"Deer","Grassland","18","08","08",2023-08-08 18:00:00,"Summer",5
"Deer","Grassland","07","03","07",2023-07-03 07:00:00,"Summer",2
"Deer","Grassland","15","24","07",2023-07-24 15:00:00,"Summer",3
"Deer","Grassland","20","03","03",2023-03-03 20:00:00,"Spring",3
"Deer","Grassland","18","26","07",2023-07-26 18:00:00,"Summer",3
"Deer","Grassland","10","07","09",2023-09-07 10:00:00,"Fall",7
"Deer","Grassland","05","28","10",2023-10-28 05:00:00,"Fall",1
"Deer","Grassland","09","02","09",2023-09-02 09:00:00,"Fall",2
"Deer","Grassland","19","07","06",2023-06-07 19:00:00,"Summer",5
"Deer","Grassland","05","11","05",2023-05-11 05:00:00,"Spring",3
"Deer","Grassland","14","29","10",2023-10-29 14:00:00,"Fall",4
"Deer","Grassland","17","12","07",2023-07-12 17:00:00,"Summer",3
"Deer","Grassland","11","17","12",2023-12-17 11:00:00,"Winter",4
"Deer","Grassland","10","18","05",2023-05-18 10:00:00,"Spring",4
"Deer","Grassland","10","18","05",2023-05-18 10:00:00,"Spring",6
"Deer","Grassland","15","18","12",2023-12-18 15:00:00,"Winter",4
"Deer","Grassland","17","25","10",2023-10-25 17:00:00,"Fall",2
"Deer","Grassland","05","24","10",2023-10-24 05:00:00,"Fall",2
"Deer","Grassland","18","10","04",2023-04-10 18:00:00,"Spring",4
"Deer","Grassland","08","21","09",2023-09-21 08:00:00,"Fall",4
"Deer","Grassland","11","18","10",2023-10-18 11:00:00,"Fall",2
"Deer","Grassland","13","29","03",2023-03-29 13:00:00,"Spring",2
"Deer","Grassland","07","09","10",2023-10-09 07:00:00,"Fall",2
"Deer","Grassland","10","26","10",2023-10-26 10:00:00,"Fall",8
"Deer","Grassland","11","27","08",2023-08-27 11:00:00,"Summer",3
"Deer","Grassland","12","14","06",2023-06-14 12:00:00,"Summer",2
"Deer","Grassland","17","02","06",2023-06-02 17:00:00,"Summer",5
"Deer","Grassland","05","05","07",2023-07-05 05:00:00,"Summer",3
"Deer","Grassland","08","22","07",2023-07-22 08:00:00,"Summer",3
"Deer","Grassland","12","01","09",2023-09-01 12:00:00,"Fall",5
"Deer","Grassland","11","11","06",2023-06-11 11:00:00,"Summer",2
"Deer","Grassland","09","18","10",2023-10-18 09:00:00,"Fall",3
"Deer","Grassland","11","30","09",2023-09-30 11:00:00,"Fall",5
"Deer","Grassland","11","10","07",2023-07-10 11:00:00,"Summer",4
"Deer","Grassland","16","21","09",2023-09-21 16:00:00,"Fall",3
"Deer","Grassland","07","23","04",2023-04-23 07:00:00,"Spring",2
"Deer","Grassland","12","16","04",2023-04-16 12:00:00,"Spring",5
"Deer","Grassland","11","22","08",2023-08-22 11:00:00,"Summer",3
"Deer","Grassland","14","13","07",2023-07-13 14:00:00,"Summer",2
"Deer","Grassland","12","31","07",2023-07-31 12:00:00,"Summer",5
"Deer","Grassland","12","24","03",2023-03-24 12:00:00,"Spring",2
"Deer","Grassland","09","27","08",2023-08-27 09:00:00,"Summer",9
"Deer","Grassland","08","23","07",2023-07-23 08:00:00,"Summer",7
"Deer","Grassland","14","04","03",2023-03-04 14:00:00,"Spring",5
"Deer","Grassland","09","26","07",2023-07-26 09:00:00,"Summer",3
"Deer","Grassland","10","19","06",2023-06-19 10:00:00,"Summer",2
"Deer","Grassland","17","07","08",2023-08-07 17:00:00,"Summer",4
"Deer","Grassland","11","12","10",2023-10-12 11:00:00,"Fall",2
"Deer","Grassland","17","28","11",2023-11-28 17:00:00,"Fall",1
"Deer","Grassland","14","04","08",2023-08-04 14:00:00,"Summer",3
"Deer","Grassland","10","11","06",2023-06-11 10:00:00,"Summer",4
"Deer","Grassland","06","21","07",2023-07-21 06:00:00,"Summer",2
"Deer","Grassland","08","08","09",2023-09-08 08:00:00,"Fall",3
"Deer","Grassland","17","08","09",2023-09-08 17:00:00,"Fall",6
"Deer","Grassland","09","01","10",2023-10-01 09:00:00,"Fall",2
"Deer","Grassland","07","29","08",2023-08-29 07:00:00,"Summer",4
"Deer","Grassland","09","05","09",2023-09-05 09:00:00,"Fall",6
"Deer","Grassland","10","22","11",2023-11-22 10:00:00,"Fall",4
"Deer","Grassland","12","28","05",2023-05-28 12:00:00,"Spring",4
"Deer","Grassland","23","07","07",2023-07-07 23:00:00,"Summer",6
"Deer","Grassland","13","26","04",2023-04-26 13:00:00,"Spring",2
"Deer","Grassland","09","30","06",2023-06-30 09:00:00,"Summer",7
"Deer","Grassland","06","17","10",2023-10-17 06:00:00,"Fall",4
"Deer","Grassland","16","16","10",2023-10-16 16:00:00,"Fall",3
"Deer","Grassland","15","29","06",2023-06-29 15:00:00,"Summer",2
"Deer","Grassland","04","28","06",2023-06-28 04:00:00,"Summer",3
"Deer","Grassland","08","22","07",2023-07-22 08:00:00,"Summer",3
"Deer","Grassland","16","15","03",2023-03-15 16:00:00,"Spring",5
"Deer","Grassland","14","31","08",2023-08-31 14:00:00,"Summer",4
"Bear","Forest","04","16","10",2023-10-16 04:00:00,"Fall",2
"Bear","Forest","04","02","11",2023-11-02 04:00:00,"Fall",1
"Bear","Forest","05","03","12",2023-12-03 05:00:00,"Winter",1
"Bear","Forest","21","22","05",2023-05-22 21:00:00,"Spring",2
"Bear","Mountain","20","16","08",2023-08-16 20:00:00,"Summer",1
"Bear","Mountain","20","21","08",2023-08-21 20:00:00,"Summer",2
"Bear","Mountain","03","25","05",2023-05-25 03:00:00,"Spring",1
"Bear","Mountain","03","15","09",2023-09-15 03:00:00,"Fall",1
"Bear","Mountain","20","08","05",2023-05-08 20:00:00,"Spring",1
"Wolf","Forest","04","01","10",2023-10-01 04:00:00,"Fall",1
"Wolf","Forest","07","15","07",2023-07-15 07:00:00,"Summer",1
"Wolf","Forest","21","14","06",2023-06-14 21:00:00,"Summer",1
"Wolf","Forest","23","03","01",2023-01-03 23:00:00,"Winter",1
"Wolf","Forest","20","23","10",2023-10-23 20:00:00,"Fall",1
"Wolf","Forest","20","01","10",2023-10-01 20:00:00,"Fall",1
"Wolf","Forest","08","23","10",2023-10-23 08:00:00,"Fall",1
"Wolf","Forest","02","13","04",2023-04-13 02:00:00,"Spring",2
"Wolf","Forest","05","30","08",2023-08-30 05:00:00,"Summer",1
"Wolf","Mountain","07","27","01",2023-01-27 07:00:00,"Winter",1
"Wolf","Mountain","19","26","08",2023-08-26 19:00:00,"Summer",1
"Wolf","Mountain","22","16","02",2023-02-16 22:00:00,"Winter",1
"Wolf","Mountain","07","12","10",2023-10-12 07:00:00,"Fall",1
"Wolf","Grassland","07","06","09",2023-09-06 07:00:00,"Fall",1
"Wolf","Grassland","21","03","10",2023-10-03 21:00:00,"Fall",1
"Rabbit","Forest","09","29","06",2023-06-29 09:00:00,"Summer",2
"Rabbit","Forest","13","13","09",2023-09-13 13:00:00,"Fall",2
"Rabbit","Forest","07","30","06",2023-06-30 07:00:00,"Summer",4
"Rabbit","Forest","18","23","06",2023-06-23 18:00:00,"Summer",1
"Rabbit","Forest","07","23","06",2023-06-23 07:00:00,"Summer",1
"Rabbit","Forest","10","29","08",2023-08-29 10:00:00,"Summer",3
"Rabbit","Forest","06","27","04",2023-04-27 06:00:00,"Spring",5
"Rabbit","Forest","18","27","11",2023-11-27 18:00:00,"Fall",4
"Rabbit","Forest","20","19","10",2023-10-19 20:00:00,"Fall",2
"Rabbit","Forest","07","05","08",2023-08-05 07:00:00,"Summer",2
"Rabbit","Mountain","07","12","01",2023-01-12 07:00:00,"Winter",2
"Rabbit","Mountain","06","02","02",2023-02-02 06:00:00,"Winter",2
"Rabbit","Mountain","18","03","05",2023-05-03 18:00:00,"Spring",1
"Rabbit","Mountain","09","19","08",2023-08-19 09:00:00,"Summer",1
"Rabbit","Mountain","08","18","05",2023-05-18 08:00:00,"Spring",1
"Rabbit","Mountain","08","28","06",2023-06-28 08:00:00,"Summer",1
"Rabbit","Mountain","17","09","11",2023-11-09 17:00:00,"Fall",2
"Rabbit","Mountain","11","25","10",2023-10-25 11:00:00,"Fall",1
"Rabbit","Mountain","13","22","03",2023-03-22 13:00:00,"Spring",4
"Rabbit","Mountain","09","18","07",2023-07-18 09:00:00,"Summer",2
"Rabbit","Mountain","09","01","09",2023-09-01 09:00:00,"Fall",1
"Rabbit","Mountain","09","10","06",2023-06-10 09:00:00,"Summer",2
"Rabbit","Mountain","08","17","05",2023-05-17 08:00:00,"Spring",1
"Rabbit","Mountain","06","14","06",2023-06-14 06:00:00,"Summer",1
"Rabbit","Mountain","06","25","09",2023-09-25 06:00:00,"Fall",2
"Rabbit","Mountain","17","28","08",2023-08-28 17:00:00,"Summer",1
"Rabbit","Mountain","10","24","06",2023-06-24 10:00:00,"Summer",1
"Rabbit","Mountain","16","07","09",2023-09-07 16:00:00,"Fall",4
"Rabbit","Mountain","09","21","09",2023-09-21 09:00:00,"Fall",2
"Rabbit","Mountain","08","11","10",2023-10-11 08:00:00,"Fall",1
"Rabbit","Mountain","19","14","07",2023-07-14 19:00:00,"Summer",1
"Rabbit","Mountain","09","11","09",2023-09-11 09:00:00,"Fall",3
"Rabbit","Mountain","08","24","06",2023-06-24 08:00:00,"Summer",3
"Rabbit","Mountain","17","14","06",2023-06-14 17:00:00,"Summer",1
"Rabbit","Mountain","08","10","08",2023-08-10 08:00:00,"Summer",2
"Rabbit","Grassland","18","02","10",2023-10-02 18:00:00,"Fall",2
"Rabbit","Grassland","05","01","05",2023-05-01 05:00:00,"Spring",4
"Rabbit","Grassland","09","14","06",2023-06-14 09:00:00,"Summer",2
"Rabbit","Grassland","11","17","10",2023-10-17 11:00:00,"Fall",3
"Rabbit","Grassland","19","05","07",2023-07-05 19:00:00,"Summer",2
"Rabbit","Grassland","11","17","03",2023-03-17 11:00:00,"Spring",3
"Rabbit","Grassland","19","20","10",2023-10-20 19:00:00,"Fall",2
"Rabbit","Grassland","08","17","04",2023-04-17 08:00:00,"Spring",3
"Rabbit","Grassland","18","08","10",2023-10-08 18:00:00,"Fall",2
"Rabbit","Grassland","10","22","08",2023-08-22 10:00:00,"Summer",1
"Rabbit","Grassland","07","07","08",2023-08-07 07:00:00,"Summer",2
"Rabbit","Grassland","11","18","03",2023-03-18 11:00:00,"Spring",1
"Rabbit","Grassland","11","10","06",2023-06-10 11:00:00,"Summer",2
"Rabbit","Grassland","19","25","06",2023-06-25 19:00:00,"Summer",4
"Rabbit","Grassland","17","28","07",2023-07-28 17:00:00,"Summer",2
"Rabbit","Grassland","11","27","01",2023-01-27 11:00:00,"Winter",2
"Rabbit","Grassland","06","01","12",2023-12-01 06:00:00,"Winter",1
"Rabbit","Grassland","10","28","05",2023-05-28 10:00:00,"Spring",2
"Rabbit","Grassland","10","23","04",2023-04-23 10:00:00,"Spring",2
"Rabbit","Grassland","11","19","04",2023-04-19 11:00:00,"Spring",3
"Rabbit","Grassland","09","02","07",2023-07-02 09:00:00,"Summer",2
"Rabbit","Grassland","17","28","10",2023-10-28 17:00:00,"Fall",3
"Rabbit","Grassland","09","16","07",2023-07-16 09:00:00,"Summer",1
"Rabbit","Grassland","06","13","09",2023-09-13 06:00:00,"Fall",3
"Rabbit","Grassland","08","10","06",2023-06-10 08:00:00,"Summer",2
"Rabbit","Grassland","18","18","07",2023-07-18 18:00:00,"Summer",1
"Rabbit","Grassland","18","18","03",2023-03-18 18:00:00,"Spring",2
"Rabbit","Grassland","08","31","08",2023-08-31 08:00:00,"Summer",3
"Rabbit","Grassland","11","15","09",2023-09-15 11:00:00,"Fall",1
"Rabbit","Grassland","09","10","04",2023-04-10 09:00:00,"Spring",2
"Rabbit","Grassland","07","27","06",2023-06-27 07:00:00,"Summer",3
"Rabbit","Grassland","11","14","09",2023-09-14 11:00:00,"Fall",3
"Rabbit","Grassland","09","28","05",2023-05-28 09:00:00,"Spring",2
"Rabbit","Grassland","18","06","10",2023-10-06 18:00:00,"Fall",1
"Rabbit","Grassland","07","20","04",2023-04-20 07:00:00,"Spring",1
"Rabbit","Grassland","09","15","09",2023-09-15 09:00:00,"Fall",1
"Rabbit","Grassland","12","11","10",2023-10-11 12:00:00,"Fall",2
"Rabbit","Grassland","10","21","09",2023-09-21 10:00:00,"Fall",2
"Rabbit","Grassland","18","24","05",2023-05-24 18:00:00,"Spring",2
"Rabbit","Grassland","09","12","06",2023-06-12 09:00:00,"Summer",3
"Rabbit","Grassland","07","01","10",2023-10-01 07:00:00,"Fall",1
"Rabbit","Grassland","07","01","06",2023-06-01 07:00:00,"Summer",3
"Rabbit","Grassland","09","28","06",2023-06-28 09:00:00,"Summer",2
"Rabbit","Grassland","18","22","09",2023-09-22 18:00:00,"Fall",3
"Rabbit","Grassland","11","17","03",2023-03-17 11:00:00,"Spring",1
"Rabbit","Grassland","08","27","06",2023-06-27 08:00:00,"Summer",1
"Rabbit","Grassland","10","06","10",2023-10-06 10:00:00,"Fall",2
"Fox","Forest","01","09","05",2023-05-09 01:00:00,"Spring",1
"Fox","Forest","22","06","10",2023-10-06 22:00:00,"Fall",1
"Fox","Forest","01","27","09",2023-09-27 01:00:00,"Fall",1
"Fox","Forest","18","29","10",2023-10-29 18:00:00,"Fall",1
"Fox","Forest","24","10","06",2023-06-11 00:00:00,"Summer",1
"Fox","Forest","20","02","10",2023-10-02 20:00:00,"Fall",1
"Fox","Forest","01","16","09",2023-09-16 01:00:00,"Fall",1
"Fox","Forest","23","06","08",2023-08-06 23:00:00,"Summer",1
"Fox","Forest","01","24","12",2023-12-24 01:00:00,"Winter",2
"Fox","Forest","19","08","04",2023-04-08 19:00:00,"Spring",1
"Fox","Forest","01","18","09",2023-09-18 01:00:00,"Fall",1
"Fox","Forest","23","04","07",2023-07-04 23:00:00,"Summer",1
"Fox","Forest","17","26","09",2023-09-26 17:00:00,"Fall",1
"Fox","Forest","19","22","05",2023-05-22 19:00:00,"Spring",1
"Fox","Forest","24","21","06",2023-06-22 00:00:00,"Summer",1
"Fox","Forest","23","04","07",2023-07-04 23:00:00,"Summer",1
"Fox","Forest","01","22","09",2023-09-22 01:00:00,"Fall",1
"Fox","Forest","16","07","09",2023-09-07 16:00:00,"Fall",1
"Fox","Mountain","20","03","06",2023-06-03 20:00:00,"Summer",1
"Fox","Mountain","01","27","08",2023-08-27 01:00:00,"Summer",1
"Fox","Grassland","24","22","03",2023-03-23 00:00:00,"Spring",1
"Fox","Grassland","04","11","07",2023-07-11 04:00:00,"Summer",1
"Fox","Grassland","20","13","05",2023-05-13 20:00:00,"Spring",1
"Fox","Grassland","21","05","10",2023-10-05 21:00:00,"Fall",1
"Owl","Forest","21","28","08",2023-08-28 21:00:00,"Summer",1
"Owl","Forest","03","10","07",2023-07-10 03:00:00,"Summer",1
"Owl","Forest","22","01","05",2023-05-01 22:00:00,"Spring",1
"Owl","Forest","18","28","05",2023-05-28 18:00:00,"Spring",1
"Owl","Forest","22","04","10",2023-10-04 22:00:00,"Fall",1
"Owl","Forest","02","30","10",2023-10-30 02:00:00,"Fall",1
"Owl","Forest","24","25","07",2023-07-26 00:00:00,"Summer",1
"Owl","Forest","02","21","05",2023-05-21 02:00:00,"Spring",1
"Owl","Forest","19","25","10",2023-10-25 19:00:00,"Fall",1
"Owl","Forest","24","20","07",2023-07-21 00:00:00,"Summer",1
"Owl","Forest","24","21","12",2023-12-22 00:00:00,"Winter",1
"Owl","Forest","20","18","02",2023-02-18 20:00:00,"Winter",1
"Owl","Forest","01","11","03",2023-03-11 01:00:00,"Spring",1
"Owl","Forest","08","25","08",2023-08-25 08:00:00,"Summer",1
"Owl","Mountain","01","24","09",2023-09-24 01:00:00,"Fall",1
"Owl","Grassland","02","03","03",2023-03-03 02:00:00,"Spring",1
